Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
TNXP,Tonix Pharmaceuticals Holding Corp.,,19.57 +3.29 (+20.18%),3.29,+20.18%,1.251M,1.601M,109.383M,-,-98.55%,
JBSAY,JBS S.A.,,13.68 +2.03 (+17.42%),2.03,+17.42%,183927,80348,15.172B,11.79,25.85%,
FINV,FinVolution Group,,10.70 +1.58 (+17.32%),1.58,+17.32%,3.521M,804863,2.78B,9.30,88.04%,
TKAMY,thyssenkrupp AG,,11.47 +1.42 (+14.13%),1.42,+14.13%,95381,125634,7.14B,-,89.62%,
TME,Tencent Music Entertainment Group,,14.77 +1.70 (+13.06%),1.7,+13.06%,24.653M,7.488M,23.444B,27.86,18.30%,
ESLT,Elbit Systems Ltd.,,411.59 +42.33 (+11.46%),42.33,+11.46%,143271,46250,18.356B,70.60,82.87%,
BVHMF,Vistry Group PLC,,8.20 +0.65 (+8.61%),0.65,+8.61%,15650,21292,2.693B,8.72,-48.99%,
NEXT,NextDecade Corporation,,7.81 +0.56 (+7.72%),0.56,+7.72%,1.485M,1.745M,2.034B,-,31.82%,
ALHC,"Alignment Healthcare, Inc.",,16.94 +0.85 (+5.32%),0.85,+5.32%,2.025M,2.048M,3.251B,-,225.71%,
BRRLY,Barry Callebaut AG,,13.60 +0.67 (+5.18%),0.67,+5.18%,21505,72053,7.454B,34.87,-6.28%,
RIVN,"Rivian Automotive, Inc.",,11.60 +0.57 (+5.22%),0.57,+5.22%,19.83M,31.967M,13.111B,-,-2.13%,
XIACY,Xiaomi Corporation,,38.82 +1.85 (+5.00%),1.85,+5.00%,356467,690443,189.285B,36.62,232.17%,
RNMBY,Rheinmetall AG,,315.80 +14.80 (+4.92%),14.8,+4.92%,34724,96075,68.556B,129.43,187.02%,
IMPUY,Impala Platinum Holdings Limited,,6.57 +0.29 (+4.62%),0.29,+4.62%,245003,202241,5.923B,-,68.07%,
SITM,SiTime Corporation,,177.45 +6.99 (+4.10%),6.99,+4.10%,170834,306425,4.187B,-,99.25%,
VWDRY,Vestas Wind Systems A/S,,5.62 +0.22 (+4.07%),0.22,+4.07%,25362,476681,16.921B,31.22,-41.95%,
CDE,"Coeur Mining, Inc.",,6.70 +0.28 (+4.28%),0.28,+4.28%,13.395M,17.36M,4.282B,44.70,112.21%,
AG,First Majestic Silver Corp.,,7.39 +0.30 (+4.23%),0.3,+4.23%,15.219M,17.895M,3.577B,-,34.79%,
NIO,NIO Inc.,,5.25 +0.22 (+4.37%),0.22,+4.37%,63.063M,51.638M,10.666B,-,-3.08%,
CNX,CNX Resources Corporation,,32.00 +1.27 (+4.13%),1.27,+4.13%,1.359M,3.275M,4.763B,-,42.40%,
AU,AngloGold Ashanti plc,,34.29 +1.30 (+3.96%),1.3,+3.96%,1.724M,2.419M,17.269B,14.72,62.75%,
DB,Deutsche Bank Aktiengesellschaft,,24.86 +0.91 (+3.82%),0.91,+3.82%,3.363M,2.996M,48.335B,16.69,60.85%,
MLTX,MoonLake Immunotherapeutics,,40.09 +1.42 (+3.67%),1.42,+3.67%,213128,385927,2.537B,-,-23.56%,
MYRG,MYR Group Inc.,,125.03 +4.53 (+3.76%),4.53,+3.76%,276821,231437,2.018B,68.32,-24.94%,
XIACF,Xiaomi Corporation,,7.68 +0.27 (+3.64%),0.27,+3.64%,25111,172010,187.212B,36.57,287.17%,
