Unnamed: 0,Volume,Last,Chg,% Chg
Sprott Inc. (SII),90.9K,44.92,1.73,3.99
Astrana Health Inc. (ASTH),131.8K,31.81,1.21,3.95
Mineralys Therapeutics Inc. (MLYS),803.9K,14.77,0.55,3.87
Solaris Energy Infrastructure Inc. (SEI),1.5M,21.25,0.79,3.86
MoonLake Immunotherapeutics (MLTX),211.8K,40.16,1.49,3.85
AngloGold Ashanti PLC (AU),1.7M,34.26,1.27,3.85
Centerra Gold Inc. (CGAU),455.7K,6.21,0.23,3.85
Deutsche Bank AG (DB),3.3M,24.84,0.9,3.74
CNX Resources Corp. (CNX),1.3M,31.88,1.15,3.74
REV Group Inc. (REVG),305.7K,31.09,1.12,3.74
