Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
DJTWW,Trump Media & Technology Group Corp.,,14.74 +1.61 (+12.26%),1.61,+12.26%,160978,99414,4.707B,-,-13.40%,
DJT,Trump Media & Technology Group Corp.,,22.87 +1.86 (+8.85%),1.86,+8.85%,12.764M,7.467M,5.041B,-,-63.77%,
MBLY,Mobileye Global Inc.,,16.58 +1.32 (+8.65%),1.32,+8.65%,8.851M,5.57M,13.458B,-,-51.32%,
EPAC,Enerpac Tool Group Corp.,,47.02 +3.64 (+8.39%),3.64,+8.39%,693768,333081,2.558B,29.95,22.58%,
SAND,Sandstorm Gold Ltd.,,7.37 +0.52 (+7.59%),0.52,+7.59%,6.425M,5.094M,2.183B,147.40,37.83%,
IP,International Paper Company,,56.26 +3.43 (+6.49%),3.43,+6.49%,13.693M,9.361M,29.6B,35.83,38.30%,
EGO,Eldorado Gold Corporation,,16.59 +0.88 (+5.60%),0.88,+5.60%,2.503M,1.713M,3.4B,11.36,15.60%,
TKC,Turkcell Iletisim Hizmetleri A.S.,,6.21 +0.32 (+5.43%),0.32,+5.43%,1.312M,531306,5.415B,18.82,15.72%,
FMCC,Federal Home Loan Mortgage Corporation,,6.26 +0.31 (+5.21%),0.31,+5.21%,1.842M,6.53M,4.069B,-,253.57%,
BAYRY,Bayer Aktiengesellschaft,,6.35 +0.30 (+4.96%),0.3,+4.96%,136689,1.107M,26.956B,-,-17.91%,
BBAR,Banco BBVA Argentina S.A.,,19.90 +0.89 (+4.68%),0.89,+4.68%,782079,818422,4.92B,12.21,128.49%,
X,United States Steel Corporation,,43.00 +1.85 (+4.50%),1.85,+4.50%,5.697M,6.928M,9.735B,27.39,1.13%,
TTD,"The Trade Desk, Inc.",,62.00 +2.66 (+4.48%),2.66,+4.48%,12.526M,8.732M,30.758B,79.49,-31.83%,
PRMB,Primo Brands Corporation,,33.52 +1.43 (+4.46%),1.43,+4.46%,4.025M,2.932M,12.607B,-,76.90%,
APPF,"AppFolio, Inc.",,230.33 +9.73 (+4.41%),9.73,+4.41%,690434,285933,8.385B,41.43,-11.30%,
ZIJMY,Zijin Mining Group Company Limited,,47.61 +2.01 (+4.41%),2.01,+4.41%,19467,32159,68.109B,14.38,16.95%,
ETSY,"Etsy, Inc.",,47.82 +1.96 (+4.27%),1.96,+4.27%,4.479M,3.787M,5.12B,20.35,-30.30%,
BMA,Banco Macro S.A.,,84.61 +3.41 (+4.20%),3.41,+4.20%,311532,331016,6.552B,10.95,59.87%,
INTA,"Intapp, Inc.",,64.18 +2.56 (+4.15%),2.56,+4.15%,496852,662923,5.096B,-,80.76%,
YPF,YPF Sociedad Anónima,,37.67 +1.50 (+4.15%),1.5,+4.15%,1.861M,1.967M,18.12B,6.29,82.68%,
YOU,"Clear Secure, Inc.",,27.51 +1.01 (+3.81%),1.01,+3.81%,1.3M,2.225M,3.765B,17.63,23.72%,
CVNA,Carvana Co.,,221.66 +8.03 (+3.76%),8.03,+3.76%,6.972M,4.405M,25.922B,140.29,135.25%,
QRVO,"Qorvo, Inc.",,75.63 +2.72 (+3.73%),2.72,+3.73%,1.771M,2.874M,7.064B,270.11,-35.27%,
SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,,17.86 +0.64 (+3.72%),0.64,+3.72%,1.304M,794498,12.207B,17.34,4.74%,
CLBT,Cellebrite DI Ltd.,,20.61 +0.73 (+3.67%),0.73,+3.67%,1.508M,1.867M,4.935B,-,67.48%,
